[2024-04-17 12:45:35][Debug] Driver init
[2024-04-17 12:45:36][Event] =MRA Crawler ver1.0=
[2024-04-17 12:45:42][Debug] Get *https://www.mrashop.de/com/model-based-products/* page
[2024-04-17 12:45:47][Event] Start point found! - Brand : YAMAHA, Model : FJR 1300, Year : BJ 16-
[2024-04-17 12:45:47][Debug] Brand : YAMAHA, Model : FJR 1300, Year : BJ 16-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fjr-1300/bj-16/
[2024-04-17 12:45:50][Debug] Brand : YAMAHA, Model : FZ 1, Year : BJ 06-, Value : https://www.mrashop.de/com/cat/index/sCategory/90005756
[2024-04-17 12:45:50][Debug] Brand : YAMAHA, Model : FZ 1, Year : BJ 06-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-1/bj-06/
[2024-04-17 12:45:52][Debug] Brand : YAMAHA, Model : FZ 1 Fazer, Year : BJ 06-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-1-fazer/bj-06/
[2024-04-17 12:45:54][Debug] Brand : YAMAHA, Model : FZ 6, Year : BJ 07-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-6/bj-07/
[2024-04-17 12:45:56][Debug] Brand : YAMAHA, Model : FZ 6 R, Year : BJ 10-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-6-r/bj-10/
[2024-04-17 12:45:58][Debug] Brand : YAMAHA, Model : FZ 600, Year : alle BJ, Value : https://www.mrashop.de/com/cat/index/sCategory/90005761
[2024-04-17 12:45:58][Debug] Brand : YAMAHA, Model : FZ 600, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-600/alle-bj/
[2024-04-17 12:46:01][Debug] Brand : YAMAHA, Model : FZ 600 S FAZER, Year : BJ 04-06, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-600-s-fazer/bj-04-06/
[2024-04-17 12:46:03][Debug] Brand : YAMAHA, Model : FZ 600 S2 FAZER, Year : BJ 07-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-600-s2-fazer/bj-07/
[2024-04-17 12:46:05][Debug] Brand : YAMAHA, Model : FZ 750, Year : BJ -86, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-750/bj-86/
[2024-04-17 12:46:05][Debug] Brand : YAMAHA, Model : FZ 750, Year : BJ 85-, Value : https://www.mrashop.de/com/model-based-products/yamaha/fz-750/bj-85/
